ChEMBL_ID,Name,SMILES,pChEMBL_value,activity_type,source
CHEMBL1475252,TENATOPRAZOLE,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,6.01,IC50,SARS-CoV-2_Mpro
CHEMBL271023,Unknown,[O-][S+](c1ccccc1)c1ccc2nnnn2n1,5.95,IC50,SARS-CoV-2_Mpro
CHEMBL406050,PX-12,CCC(C)SSc1ncc[nH]1,6.85,IC50,SARS-CoV-2_Mpro
CHEMBL1255778,BENSERAZIDE HYDROCHLORIDE,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,6.85,IC50,SARS-CoV-2_Mpro
CHEMBL1201236,CARBIDOPA ANHYDROUS,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,5.45,IC50,SARS-CoV-2_Mpro
CHEMBL388676,CAPTAN,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,6.17,IC50,SARS-CoV-2_Mpro
CHEMBL52,NORDIHYDROGUAIARETIC ACID,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,5.59,IC50,SARS-CoV-2_Mpro
CHEMBL505308,Unknown,Br.Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,5.58,IC50,SARS-CoV-2_Mpro
CHEMBL4303376,Unknown,Cc1ccccc1N(C)C(=O)c1ccc([S+]([O-])c2nccs2)c([N+](=O)[O-])c1,5.73,IC50,SARS-CoV-2_Mpro
CHEMBL28,APIGENIN,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5.52,IC50,SARS-CoV-2_Mpro
CHEMBL3348861,AMPELOPSIN,O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,6.75,IC50,SARS-CoV-2_Mpro
CHEMBL488755,Unknown,CN(C)CCNc1nc2cc(O)ccc2c2c1C(=O)c1ccccc1-2,5.52,IC50,SARS-CoV-2_Mpro
CHEMBL1256915,Unknown,CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@@H]12.O=C(O)/C=C/C(=O)O,5.7,IC50,SARS-CoV-2_Mpro
CHEMBL3545085,XL-228,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,5.83,IC50,SARS-CoV-2_Mpro
CHEMBL403183,Unknown,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,6.09,IC50,SARS-CoV-2_Mpro
CHEMBL1200471,PYRITHIONE ZINC,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],5.61,IC50,SARS-CoV-2_Mpro
CHEMBL3747259,Unknown,O=C(/C=C/c1ccc(O)c2c1[C@@H](C(=O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,5.47,IC50,SARS-CoV-2_Mpro
CHEMBL324842,ROSMARINIC ACID,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,5.41,IC50,SARS-CoV-2_Mpro
CHEMBL1380480,VANITIOLIDE,COc1cc(C(=S)N2CCOCC2)ccc1O,5.88,IC50,SARS-CoV-2_Mpro
CHEMBL1161936,Unknown,O=C(O)c1ccc(SSc2ccc(C(=O)O)cn2)nc1,6.62,IC50,SARS-CoV-2_Mpro
CHEMBL120563,THIRAM,CN(C)C(=S)SSC(=S)N(C)C,7.3,IC50,SARS-CoV-2_Mpro
CHEMBL51085,EBSELEN,O=c1c2ccccc2[se]n1-c1ccccc1,7.52,IC50,SARS-CoV-2_Mpro
CHEMBL1188627,Unknown,C/N=c1/nc(-c2ccccc2)n(-c2ccccc2)s1,6.01,IC50,SARS-CoV-2_Mpro
CHEMBL4303331,Unknown,C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O,5.44,IC50,SARS-CoV-2_Mpro
CHEMBL1256832,DIHYDREXIDINE HYDROCHLORIDE,Cl.Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,5.98,IC50,SARS-CoV-2_Mpro
CHEMBL510038,Unknown,Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,7.52,IC50,SARS-CoV-2_Mpro
CHEMBL964,DISULFIRAM,CCN(CC)C(=S)SSC(=S)N(CC)CC,6.66,IC50,SARS-CoV-2_Mpro
CHEMBL1474701,Unknown,O=C1C=CC(=O)C2=C1C1c3ccccc3C2c2ccccc21,6.62,IC50,SARS-CoV-2_Mpro
CHEMBL1408862,BRONOPOL,O=[N+]([O-])C(Br)(CO)CO,6.38,IC50,SARS-CoV-2_Mpro
CHEMBL929,DELAVIRDINE MESYLATE,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O,5.4,IC50,SARS-CoV-2_Mpro
CHEMBL444478,ACETOSIDE,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,5.34,IC50,SARS-CoV-2_Mpro
CHEMBL571700,BIS(DIMETHYLAMINETHIOCARBONYL)MONOSULFIDE,CN(C)C(=S)SC(=S)N(C)C,6.03,IC50,SARS-CoV-2_Mpro
CHEMBL472940,Unknown,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,6.29,IC50,SARS-CoV-2_Mpro
CHEMBL1374426,Unknown,CCC(=O)OCN1C(=O)C=CC1=O,6.54,IC50,SARS-CoV-2_Mpro
CHEMBL518800,Unknown,CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,6.08,IC50,SARS-CoV-2_Mpro
CHEMBL596674,Unknown,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,6.24,IC50,SARS-CoV-2_Mpro
CHEMBL270299,BAY-11-7085,CC(C)(C)c1ccc(S(=O)(=O)/C=C/C#N)cc1,6.08,IC50,SARS-CoV-2_Mpro
CHEMBL4303312,Unknown,Oc1c(I)cc(I)c(O)c1I,6.48,IC50,SARS-CoV-2_Mpro
CHEMBL188434,Unknown,CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,5.68,IC50,SARS-CoV-2_Mpro
CHEMBL4303618,Unknown,CCc1ccc(/C=C/C(=O)Nc2ccc(C(C)=O)cc2)o1,5.3,IC50,SARS-CoV-2_Mpro
CHEMBL128251,IOCANLIDIC ACID,O=C(O)CCCCCCCCCCCCCCc1ccc(I)cc1,5.65,IC50,SARS-CoV-2_Mpro
CHEMBL4303361,Unknown,Oc1cc(CNC(=S)/C=C/c2cc(O)c(O)c(Br)c2)cc(O)c1O,6.32,IC50,SARS-CoV-2_Mpro
CHEMBL4303622,Unknown,N#CSc1cc(SC#N)c(N)nc1N,6.39,IC50,SARS-CoV-2_Mpro
CHEMBL111654,2-MERCAPTOBENZOTHIAZOLE,Sc1nc2ccccc2s1,5.76,IC50,SARS-CoV-2_Mpro
CHEMBL9116,CARACEMIDE,CNC(=O)ON(C(C)=O)C(=O)NC,5.88,IC50,SARS-CoV-2_Mpro
CHEMBL1591074,Unknown,c1ccc2sc(SNC3CCCCC3)nc2c1,6.11,IC50,SARS-CoV-2_Mpro
CHEMBL329522,EXIFONE,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,5.36,IC50,SARS-CoV-2_Mpro
CHEMBL465704,PROFLAVINE HEMISULFATE,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,6.08,IC50,SARS-CoV-2_Mpro
CHEMBL2107818,ALDOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(CO)=N/NC(=O)CCCCCN1C(=O)C=CC1=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,6.24,IC50,SARS-CoV-2_Mpro
CHEMBL8260,BAICALEIN,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,7.7,IC50,SARS-CoV-2_Mpro
CHEMBL2354521,Unknown,COc1cccc(C(=O)CCN[C@@H](C)[C@H](O)c2ccccc2)c1.Cl,5.63,IC50,SARS-CoV-2_Mpro
CHEMBL508280,Unknown,O=[N+]([O-])c1cnc(Sc2nnc(O)n2-c2ccc3c(c2)OCCO3)s1,6.52,IC50,SARS-CoV-2_Mpro
CHEMBL3187985,APOMORPHINE HYDROCHLORIDE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.Cl.O,6.28,IC50,SARS-CoV-2_Mpro
CHEMBL477197,HEMATOXYLIN,Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2,6.66,IC50,SARS-CoV-2_Mpro
CHEMBL1449651,"PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT",N.S=C(S)N1CCCC1,6.68,IC50,SARS-CoV-2_Mpro
CHEMBL1201073,SUCCIMER,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,5.76,IC50,SARS-CoV-2_Mpro
CHEMBL376488,BEDAQUILINE,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,5.36,IC50,SARS-CoV-2_Mpro
CHEMBL154580,Unknown,C=CC(=O)c1ccc2ccccc2c1,5.91,IC50,SARS-CoV-2_Mpro
CHEMBL354349,EUFLAVINE,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],5.3,IC50,SARS-CoV-2_Mpro
CHEMBL1382627,"SULFADIAZINE, SILVER",Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+],6.12,IC50,SARS-CoV-2_Mpro
CHEMBL2316746,Unknown,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,7.84,Ki,SARS-CoV-2_Mpro
CHEMBL213543,Unknown,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,6.54,IC50,SARS-CoV-2_Mpro
CHEMBL4796938,Unknown,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,7.85,IC50,SARS-CoV-2_Mpro
CHEMBL4764751,Unknown,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)c1cc2ccccc2[nH]1,7.64,IC50,SARS-CoV-2_Mpro
CHEMBL4857345,Unknown,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC(C)C,7.19,IC50,SARS-CoV-2_Mpro
CHEMBL4850298,Unknown,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,7.38,IC50,SARS-CoV-2_Mpro
CHEMBL3559293,Unknown,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,7.52,IC50,SARS-CoV-2_Mpro
CHEMBL4777223,PF-00835231,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)CO)cc12,9.57,IC50,SARS-CoV-2_Mpro
CHEMBL4852855,Unknown,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,8.05,IC50,SARS-CoV-2_Mpro
CHEMBL4868590,Unknown,CC(C)(C)C(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,5.38,IC50,SARS-CoV-2_Mpro
CHEMBL92708,CALPEPTIN,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,5.32,IC50,SARS-CoV-2_Mpro
CHEMBL4518490,Unknown,CCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,5.5,IC50,SARS-CoV-2_Mpro
CHEMBL64925,MG-132,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,5.41,IC50,SARS-CoV-2_Mpro
CHEMBL231813,TELAPREVIR,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,4.94,IC50,SARS-CoV-2_Mpro
